MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1915525	Rpa1	replication protein A1	11		telomere maintenance			IBA	PTN000588618 	J:161428 	
MGI:1915525	Rpa1	replication protein A1	11		telomere maintenance			IBA	P27694 PTN000588618 SPBC660.13c 	J:265628 	
MGI:1915525	Rpa1	replication protein A1	11		telomere maintenance			ISO	P27694 	J:164563 	
MGI:1915525	Rpa1	replication protein A1	11		telomere maintenance via telomerase			IBA	PTN000588618 	J:161428 	
MGI:1915525	Rpa1	replication protein A1	11		telomere maintenance via telomerase			IBA	PTN000588618 S000000065 SPBC660.13c 	J:265628 	
MGI:1339939	Rpa2	replication protein A2	4		telomere maintenance			ISO	P15927 	J:164563 	
MGI:1339939	Rpa2	replication protein A2	4		telomere maintenance via recombination			IBA	PTN000360435 	J:161428 	
MGI:1339939	Rpa2	replication protein A2	4		telomere maintenance via recombination			IBA	PTN000360435 S000005256 	J:265628 	
MGI:1339939	Rpa2	replication protein A2	4		telomere maintenance via telomerase			IBA	PTN000360435 	J:161428 	
MGI:1339939	Rpa2	replication protein A2	4		telomere maintenance via telomerase			IBA	PTN000360435 S000005256 	J:265628 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		mitotic telomere maintenance via semi-conservative replication			IDA		J:202812 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		negative regulation of t-circle formation			IBA	MGI:2139369 PTN000158195 Q9NZ71 	J:265628 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		negative regulation of t-circle formation			IBA	PTN000158195 	J:161428 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		negative regulation of t-circle formation			IMP		J:202812 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		negative regulation of t-circle formation	happens at the same time as cell cycle		IMP		J:222674 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		negative regulation of t-circle formation			ISO	Q9NZ71 	J:164563 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		negative regulation of telomere maintenance in response to DNA damage			IMP		J:222674 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		positive regulation of telomere capping			ISO	Q9NZ71 	J:164563 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		positive regulation of telomere maintenance			IMP		J:222674 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		positive regulation of telomere maintenance via telomere lengthening			ISO	Q9NZ71 	J:164563 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		positive regulation of telomeric loop disassembly			IDA		J:222674 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomere maintenance			IMP	MGI:3052235 	J:91351 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomere maintenance			ISO	Q9NZ71 	J:164563 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomere maintenance in response to DNA damage			IMP		J:222674 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomeric D-loop disassembly			TAS		J:222674 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomeric loop disassembly			IBA	MGI:2139369 PTN000158195 Q9NZ71 	J:265628 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomeric loop disassembly			IBA	PTN000158195 	J:161428 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomeric loop disassembly			IDA		J:222674 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomeric loop disassembly	happens at the same time as mitotic S phase		IMP		J:202812 	
MGI:2139369	Rtel1	regulator of telomere elongation helicase 1	2		telomeric loop disassembly			ISO	Q9NZ71 	J:164563 	
MGI:1354161	Sirt6	sirtuin 6	10		positive regulation of telomere maintenance			ISO	Q8N6T7 	J:164563 	
MGI:1915220	Slx1b	SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)	7		positive regulation of t-circle formation	happens at the same time as cell cycle		IMP		J:222674 	
MGI:1915220	Slx1b	SLX1 structure-specific endonuclease subunit homolog B (S. cerevisiae)	7		t-circle formation	happens at the same time as cell cycle		IMP		J:222674 	
MGI:106299	Slx4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)	16		negative regulation of telomere maintenance via telomere lengthening			ISO	Q8IY92 	J:164563 	
MGI:106299	Slx4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)	16		positive regulation of t-circle formation	happens at the same time as cell cycle		IMP		J:222674 	
MGI:106299	Slx4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)	16		t-circle formation	happens at the same time as cell cycle		IMP		J:222674 	
MGI:106299	Slx4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)	16		t-circle formation			ISO	Q8IY92 	J:164563 	
MGI:106299	Slx4	SLX4 structure-specific endonuclease subunit homolog (S. cerevisiae)	16		telomeric D-loop disassembly			ISO	Q8IY92 	J:164563 	
MGI:2385088	Smc5	structural maintenance of chromosomes 5	19		telomere maintenance via recombination			ISO	Q8IY18 	J:164563 	
MGI:1914491	Smc6	structural maintenance of chromosomes 6	12		telomere maintenance via recombination			ISO	Q96SB8 	J:164563 	
MGI:1919742	Smg1	SMG1 homolog, phosphatidylinositol 3-kinase-related kinase (C. elegans)	7		regulation of telomere maintenance			ISO	Q96Q15 	J:164563 	
MGI:2447364	Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	3		regulation of telomere maintenance			ISO	Q9UPR3 	J:164563 	
MGI:2447364	Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	3		telomere maintenance via telomerase			IBA	PTN000403280 	J:161428 	
MGI:2447364	Smg5	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)	3		telomere maintenance via telomerase			IBA	A0A1D8PP89 PTN000403280 S000004223 	J:265628 	
MGI:2144117	Smg6	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	11		negative regulation of telomere capping			ISO	Q86US8 	J:164563 	
MGI:2144117	Smg6	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	11		regulation of telomere maintenance			ISO	Q86US8 	J:164563 	
MGI:2144117	Smg6	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	11		telomere maintenance via telomerase			IBA	PTN000403280 	J:161428 	
MGI:2144117	Smg6	Smg-6 homolog, nonsense mediated mRNA decay factor (C. elegans)	11		telomere maintenance via telomerase			IBA	A0A1D8PP89 PTN000403280 S000004223 	J:265628 	
MGI:2682334	Smg7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	1		telomere maintenance via telomerase			IBA	PTN000403280 	J:161428 	
MGI:2682334	Smg7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	1		telomere maintenance via telomerase			IBA	A0A1D8PP89 PTN000403280 S000004223 	J:265628 	
MGI:98397	Src	Rous sarcoma oncogene	2		negative regulation of telomere maintenance via telomerase			ISO	P12931 	J:164563 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		negative regulation of telomere maintenance via telomerase			IBA	PTN000383864 	J:161428 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		negative regulation of telomere maintenance via telomerase			IBA	PTN000383864 Q9H668 	J:265628 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		negative regulation of telomere maintenance via telomerase			ISO	Q9H668 	J:164563 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		telomere capping			IBA	PTN000383864 	J:161428 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		telomere capping			IBA	PTN000383864 	J:265628 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		telomere maintenance			ISO	Q9H668 	J:164563 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		telomere maintenance via telomere lengthening			IBA	PTN000383864 	J:161428 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		telomere maintenance via telomere lengthening			IBA	PTN000383864 Q9H668 	J:265628 	
MGI:1915581	Stn1	STN1, CST complex subunit	19		telomere maintenance via telomere lengthening			ISO	Q9H668 	J:164563 	
MGI:98535	Tcp1	t-complex protein 1	17		positive regulation of telomere maintenance via telomerase			ISO	P17987 	J:164563 	
MGI:1918968	Telo2	telomere maintenance 2	17		telomere maintenance			IBA	PTN000406418 	J:161428 	
MGI:1918968	Telo2	telomere maintenance 2	17		telomere maintenance			IBA	PTN000406418 S000003331 	J:265628 	
MGI:1916785	Ten1	TEN1 telomerase capping complex subunit	11		negative regulation of telomere maintenance via telomerase			IBA	PTN002141694 	J:161428 	
MGI:1916785	Ten1	TEN1 telomerase capping complex subunit	11		negative regulation of telomere maintenance via telomerase			IBA	PTN002141694 Q86WV5 	J:265628 	
MGI:1916785	Ten1	TEN1 telomerase capping complex subunit	11		negative regulation of telomere maintenance via telomerase			ISO	Q86WV5 	J:164563 	
MGI:1917820	Tent4b	terminal nucleotidyltransferase 4B	8		negative regulation of telomere maintenance via telomerase			ISO	Q8NDF8 	J:164563 	
MGI:109573	Tep1	telomerase associated protein 1	14		telomere maintenance via recombination			ISO	Q99973 	J:164563 	
MGI:109573	Tep1	telomerase associated protein 1	14	NOT	telomere maintenance via telomerase			IGI	MGI:2685589 	J:91080 	
MGI:109558	Terc	telomerase RNA component	3		positive regulation of telomere maintenance via telomerase	regulates a function/process that happens in oocyte		IMP	MGI:1857930 	J:131948 	
MGI:109558	Terc	telomerase RNA component	3		telomere maintenance	happens in bone marrow,happens in native cell|happens in spleen,happens in native cell		IGI	MGI:109635 	J:91715 	
MGI:109558	Terc	telomerase RNA component	3		telomere maintenance			IGI	MGI:109635 MGI:1328362 	J:93016 	
MGI:109558	Terc	telomerase RNA component	3		telomere maintenance			IMP	MGI:1857930 	J:118902 	
MGI:109558	Terc	telomerase RNA component	3		telomere maintenance via telomerase			IMP	MGI:1857930 	J:43571 	
MGI:109634	Terf1	telomeric repeat binding factor 1	1		negative regulation of telomere maintenance via telomerase			ISO	P54274 	J:164563 	
MGI:109634	Terf1	telomeric repeat binding factor 1	1		negative regulation of telomeric D-loop disassembly			ISO	P54274 	J:164563 	
MGI:109634	Terf1	telomeric repeat binding factor 1	1		telomere maintenance			ISO	P54274 	J:164563 	
MGI:109634	Terf1	telomeric repeat binding factor 1	1		telomere maintenance via telomerase			ISO	P54274 	J:164563 	
MGI:109634	Terf1	telomeric repeat binding factor 1	1		telomeric D-loop disassembly			ISO	P54274 	J:164563 	
MGI:109634	Terf1	telomeric repeat binding factor 1	1	NOT	telomeric loop formation			IMP		J:240381 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of t-circle formation			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomere capping			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomere maintenance			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomere maintenance via recombination			IMP		J:240381 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomere maintenance via recombination			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomere maintenance via telomerase			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomere maintenance via telomere lengthening			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomeric D-loop disassembly			IBA	PTN002929876 	J:161428 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomeric D-loop disassembly			IBA	PTN002929876 Q15554 	J:265628 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		negative regulation of telomeric D-loop disassembly			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		positive regulation of telomere maintenance	regulates a function/process that happens in fibroblast		IDA		J:105516 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		positive regulation of telomere maintenance	regulates a function/process that happens in fibroblast		IMP	MGI:3619525 	J:105516 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		protection from non-homologous end joining at telomere			IBA	MGI:1195972 PTN002929876 Q15554 	J:265628 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		protection from non-homologous end joining at telomere			IBA	PTN002929876 	J:161428 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		protection from non-homologous end joining at telomere	happens in fibroblast		IDA		J:105516 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		protection from non-homologous end joining at telomere			IMP		J:163935 J:240381 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		protection from non-homologous end joining at telomere	happens in fibroblast		IMP	MGI:3619525 	J:105516 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		protection from non-homologous end joining at telomere			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		regulation of telomere maintenance			IBA	MGI:1195972 PTN002929876 Q15554 	J:265628 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		regulation of telomere maintenance			IBA	PTN002929876 	J:161428 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		regulation of telomere maintenance			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		regulation of telomere maintenance via telomerase			IBA	PTN002929876 	J:161428 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		regulation of telomere maintenance via telomerase			IBA	PTN002929876 Q15554 	J:265628 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		regulation of telomere maintenance via telomerase			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		telomere capping			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		telomere maintenance			IMP		J:88560 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		telomere maintenance			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		telomeric D-loop disassembly			ISO	Q15554 	J:164563 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		telomeric loop formation			IBA	MGI:1195972 PTN002929876 Q15554 	J:265628 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		telomeric loop formation			IBA	PTN002929876 	J:161428 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		telomeric loop formation			IMP		J:240381 	
MGI:1195972	Terf2	telomeric repeat binding factor 2	8		telomeric loop formation			ISO	Q15554 	J:164563 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8		negative regulation of telomere maintenance			ISO	Q9NYB0 	J:164563 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8	NOT	protection from non-homologous end joining at telomere			IMP		J:158884 J:165984 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8		regulation of telomere maintenance			ISO	Q9NYB0 	J:164563 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8		telomere maintenance			IBA	A0A1D8PIK2 MGI:1929871 PTN001046706 Q9NYB0 S000005160 SPBC1778.02 	J:265628 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8		telomere maintenance			IBA	PTN001046706 	J:161428 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8		telomere maintenance			ISO	Q9NYB0 	J:164563 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8		telomere maintenance via telomere lengthening			IBA	MGI:1929871 PTN001046706 S000005160 	J:265628 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8		telomere maintenance via telomere lengthening			IBA	PTN001046706 	J:161428 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8		telomere maintenance via telomere lengthening			IMP		J:158884 J:165984 	
MGI:1929871	Terf2ip	telomeric repeat binding factor 2, interacting protein	8	NOT	telomeric loop formation			IMP		J:240381 	
MGI:1202709	Tert	telomerase reverse transcriptase	13		telomere maintenance via telomerase			IBA	PTN000249074 	J:161428 	
MGI:1202709	Tert	telomerase reverse transcriptase	13		telomere maintenance via telomerase			IBA	A0A1D8PEA0 O14746 PTN000249074 Q8IEH2 S000004310 SPBC29A3.14c 	J:265628 	
MGI:1202709	Tert	telomerase reverse transcriptase	13		telomere maintenance via telomerase			ISO	O14746 	J:164563 	
MGI:1202709	Tert	telomerase reverse transcriptase	13		telomere maintenance via telomerase			TAS		J:100644 	
MGI:107246	Tinf2	Terf1 (TRF1)-interacting nuclear factor 2	14		negative regulation of telomere maintenance			IDA		J:82975 	
MGI:107246	Tinf2	Terf1 (TRF1)-interacting nuclear factor 2	14		negative regulation of telomere maintenance via telomerase			ISO	Q9BSI4 	J:164563 	
MGI:107246	Tinf2	Terf1 (TRF1)-interacting nuclear factor 2	14		regulation of telomere maintenance via telomere lengthening			ISO	Q9BSI4 	J:164563 	
MGI:107246	Tinf2	Terf1 (TRF1)-interacting nuclear factor 2	14		telomere capping			ISO	Q9BSI4 	J:164563 	
MGI:1341087	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	8		negative regulation of telomere maintenance via telomere lengthening			ISO	O95271 	J:164563 	
MGI:1341087	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	8		positive regulation of telomere capping			IBA	PTN000652929 	J:161428 	
MGI:1341087	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	8		positive regulation of telomere capping			IBA	O95271 PTN000652929 Q9H2K2 	J:265628 	
MGI:1341087	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	8		positive regulation of telomere capping			ISO	O95271 	J:164563 	
MGI:1341087	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase	8		positive regulation of telomere maintenance via telomerase			ISO	O95271 	J:164563 	
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	19		negative regulation of telomere maintenance via telomere lengthening			ISO	Q9H2K2 	J:164563 	
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	19		positive regulation of telomere capping			IBA	PTN000652929 	J:161428 	
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	19		positive regulation of telomere capping			IBA	O95271 PTN000652929 Q9H2K2 	J:265628 	
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	19		positive regulation of telomere capping			ISO	Q9H2K2 	J:164563 	
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	19	NOT	telomere maintenance			IMP	MGI:3621819 	J:106917 	
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	19	NOT	telomere maintenance			IMP	MGI:3621924 	J:106918 	
MGI:1921743	Tnks2	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase 2	19		telomere maintenance			ISS		J:106917 	
MGI:107995	Upf1	UPF1 regulator of nonsense transcripts homolog (yeast)	8		regulation of telomere maintenance			ISO	Q92900 	J:164563 	
MGI:107995	Upf1	UPF1 regulator of nonsense transcripts homolog (yeast)	8		telomere maintenance via semi-conservative replication			ISO	Q92900 	J:164563 	
MGI:2384933	Wrap53	WD repeat containing, antisense to Trp53	11		telomere maintenance via telomerase			ISO	Q9BUR4 	J:164563 	
MGI:109635	Wrn	Werner syndrome RecQ like helicase	8		telomere maintenance	happens in bone marrow,happens in native cell|happens in spleen,happens in native cell		IGI	MGI:109558 	J:91715 	
MGI:109635	Wrn	Werner syndrome RecQ like helicase	8		telomere maintenance	happens in spleen,happens in native cell		IGI	MGI:109558 MGI:1328362 	J:93016 	
MGI:109635	Wrn	Werner syndrome RecQ like helicase	8		telomere maintenance			IMP	MGI:2156622 	J:83068 	
MGI:109635	Wrn	Werner syndrome RecQ like helicase	8		telomere maintenance			ISO	Q14191 	J:164563 	
MGI:109635	Wrn	Werner syndrome RecQ like helicase	8		telomeric D-loop disassembly			IBA	PTN002492231 	J:161428 	
MGI:109635	Wrn	Werner syndrome RecQ like helicase	8		telomeric D-loop disassembly			IBA	PTN002492231 Q14191 	J:265628 	
MGI:109635	Wrn	Werner syndrome RecQ like helicase	8		telomeric D-loop disassembly			ISO	Q14191 	J:164563 	
MGI:99137	Xrcc1	X-ray repair complementing defective repair in Chinese hamster cells 1	7		negative regulation of protection from non-homologous end joining at telomere			IMP		J:125414 	
MGI:99137	Xrcc1	X-ray repair complementing defective repair in Chinese hamster cells 1	7		telomeric DNA-containing double minutes formation			IMP		J:125414 	
MGI:1921585	Xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3	12		t-circle formation			ISO	O43542 	J:164563 	
MGI:1921585	Xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3	12		telomere maintenance via recombination			IBA	PTN000534587 	J:161428 	
MGI:1921585	Xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3	12		telomere maintenance via recombination			IBA	O43542 PTN000534587 	J:265628 	
MGI:1921585	Xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3	12		telomere maintenance via recombination			ISO	O43542 	J:164563 	
MGI:1921585	Xrcc3	X-ray repair complementing defective repair in Chinese hamster cells 3	12		telomere maintenance via telomere trimming			ISO	O43542 	J:164563 	
MGI:1333799	Xrcc4	X-ray repair complementing defective repair in Chinese hamster cells 4	13		negative regulation of protection from non-homologous end joining at telomere			IMP		J:125414 	
MGI:1333799	Xrcc4	X-ray repair complementing defective repair in Chinese hamster cells 4	13		telomeric DNA-containing double minutes formation			IMP		J:125414 	
MGI:104517	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	1		negative regulation of t-circle formation			ISO	P13010 	J:164563 	
MGI:104517	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	1		positive regulation of telomere maintenance via telomerase			ISO	P13010 	J:164563 	
MGI:104517	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	1		telomere maintenance			IBA	A0A1D8PF81 PTN000288287 Q7F1M0 S000004712 S000004897 SPBC543.03c SPCC126.02c 	J:265628 	
MGI:104517	Xrcc5	X-ray repair complementing defective repair in Chinese hamster cells 5	1		telomere maintenance			IBA	PTN000288287 	J:161428 	
MGI:95606	Xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6	15		telomere maintenance			IBA	A0A1D8PF81 PTN000288287 Q7F1M0 S000004712 S000004897 SPBC543.03c SPCC126.02c 	J:265628 	
MGI:95606	Xrcc6	X-ray repair complementing defective repair in Chinese hamster cells 6	15		telomere maintenance			IBA	PTN000288287 	J:161428 	
MGI:891964	Xrn1	5'-3' exoribonuclease 1	9		telomere maintenance			IC	GO:0002151 GO:0051880 	J:39219 	
MGI:891964	Xrn1	5'-3' exoribonuclease 1	9		telomere maintenance			NAS		J:41259 	
MGI:1926195	Ylpm1	YLP motif containing 1	12		regulation of telomere maintenance			IDA		J:95407 	
MGI:2140248	Zbtb48	zinc finger and BTB domain containing 48	4		telomere maintenance via telomere lengthening			ISO	P10074 	J:164563 	
MGI:2143676	Zfp365	zinc finger protein 365	10		telomere maintenance			IMP		J:204237 	
MGI:2143676	Zfp365	zinc finger protein 365	10		telomere maintenance			ISO	Q70YC5 	J:164563 	
MGI:2685243	Zscan4c	zinc finger and SCAN domain containing 4C	7		telomere maintenance via telomere lengthening	happens in embryonic stem cell		IDA		J:158887 	
MGI:2685243	Zscan4c	zinc finger and SCAN domain containing 4C	7		telomere maintenance via telomere lengthening	happens in embryonic stem cell		IMP		J:158887 	

